ind,series,period,mean,ind_title
11,coe,1997-2019,3.5601073724073267,"Agriculture, forestry, fishing, and hunting"
11,coe,2019-2023,6.267361250254038,"Agriculture, forestry, fishing, and hunting"
11,gos,1997-2019,2.611803610220085,"Agriculture, forestry, fishing, and hunting"
11,gos,2019-2023,15.036182347426099,"Agriculture, forestry, fishing, and hunting"
11,taxes,1997-2019,31.28448534531423,"Agriculture, forestry, fishing, and hunting"
11,taxes,2019-2023,165.6253946567112,"Agriculture, forestry, fishing, and hunting"
11,va,1997-2019,2.51497742311358,"Agriculture, forestry, fishing, and hunting"
11,va,2019-2023,15.237660260007283,"Agriculture, forestry, fishing, and hunting"
21,coe,1997-2019,4.62981111590076,Mining
21,coe,2019-2023,1.3079203267770314,Mining
21,gos,1997-2019,9.800962088433097,Mining
21,gos,2019-2023,28.737860288493465,Mining
21,taxes,1997-2019,6.613541355247905,Mining
21,taxes,2019-2023,11.055187401689093,Mining
21,va,1997-2019,7.180687859857806,Mining
21,va,2019-2023,15.31091104159438,Mining
22,coe,1997-2019,3.448303151747421,Utilities
22,coe,2019-2023,2.622197900623352,Utilities
22,gos,1997-2019,3.0328934889725696,Utilities
22,gos,2019-2023,11.48125080261347,Utilities
22,taxes,1997-2019,3.730800827266466,Utilities
22,taxes,2019-2023,4.578112254215511,Utilities
22,va,1997-2019,3.130671262715237,Utilities
22,va,2019-2023,7.865648477112874,Utilities
23,coe,1997-2019,4.654298031366633,Construction
23,coe,2019-2023,5.653649638217881,Construction
23,gos,1997-2019,5.9147062420516665,Construction
23,gos,2019-2023,8.142896885660704,Construction
23,taxes,1997-2019,4.731470538295579,Construction
23,taxes,2019-2023,-195.93364096800673,Construction
23,va,1997-2019,5.028111149831059,Construction
23,va,2019-2023,6.453029947359962,Construction
31G,coe,1997-2019,1.7131711790142405,Manufacturing
31G,coe,2019-2023,4.1269905260506885,Manufacturing
31G,gos,1997-2019,3.0704684969511615,Manufacturing
31G,gos,2019-2023,8.003146598570073,Manufacturing
31G,taxes,1997-2019,3.7764286550046706,Manufacturing
31G,taxes,2019-2023,23.1257497708447,Manufacturing
31G,va,1997-2019,2.3329238982749274,Manufacturing
31G,va,2019-2023,6.014482545206945,Manufacturing
42,coe,1997-2019,3.4833292678889167,Wholesale trade
42,coe,2019-2023,6.116568492933527,Wholesale trade
42,gos,1997-2019,5.72663108290153,Wholesale trade
42,gos,2019-2023,8.846810246927255,Wholesale trade
42,taxes,1997-2019,3.9244942653179313,Wholesale trade
42,taxes,2019-2023,3.8043423762353408,Wholesale trade
42,va,1997-2019,4.230448219131605,Wholesale trade
42,va,2019-2023,6.360249978700833,Wholesale trade
44RT,coe,1997-2019,3.046509602454406,Retail trade
44RT,coe,2019-2023,5.46980056501129,Retail trade
44RT,gos,1997-2019,4.861112373654043,Retail trade
44RT,gos,2019-2023,14.642704460334844,Retail trade
44RT,taxes,1997-2019,4.13081050258853,Retail trade
44RT,taxes,2019-2023,8.613462625499096,Retail trade
44RT,va,1997-2019,3.6837825930689525,Retail trade
44RT,va,2019-2023,8.604325275279301,Retail trade
48TW,coe,1997-2019,4.238400620106835,Transportation and warehousing
48TW,coe,2019-2023,7.335930537875973,Transportation and warehousing
48TW,gos,1997-2019,5.992238801349624,Transportation and warehousing
48TW,gos,2019-2023,9.055501446003912,Transportation and warehousing
48TW,taxes,1997-2019,5.995398453072131,Transportation and warehousing
48TW,taxes,2019-2023,555.593998015873,Transportation and warehousing
48TW,va,1997-2019,4.7835424434106395,Transportation and warehousing
48TW,va,2019-2023,8.130537371006035,Transportation and warehousing
51,coe,1997-2019,4.119142669870842,Information
51,coe,2019-2023,8.005061596672453,Information
51,gos,1997-2019,6.282492566266337,Information
51,gos,2019-2023,6.505906023392161,Information
51,taxes,1997-2019,3.420204783785754,Information
51,taxes,2019-2023,1.4657577445595902,Information
51,va,1997-2019,5.042267206197067,Information
51,va,2019-2023,6.686556067253191,Information
52,coe,1997-2019,4.72568216912772,Finance and insurance
52,coe,2019-2023,5.703530238159521,Finance and insurance
52,gos,1997-2019,7.170227500359133,Finance and insurance
52,gos,2019-2023,4.376799362360318,Finance and insurance
52,taxes,1997-2019,4.250184244502574,Finance and insurance
52,taxes,2019-2023,6.5021760070334285,Finance and insurance
52,va,1997-2019,5.090335540807353,Finance and insurance
52,va,2019-2023,5.109145587809493,Finance and insurance
53,coe,1997-2019,4.795175132701035,Real estate and rental and leasing
53,coe,2019-2023,6.1885000139982775,Real estate and rental and leasing
53,gos,1997-2019,4.666061966570736,Real estate and rental and leasing
53,gos,2019-2023,8.30134600445519,Real estate and rental and leasing
53,taxes,1997-2019,4.59932864805067,Real estate and rental and leasing
53,taxes,2019-2023,5.6920864595532334,Real estate and rental and leasing
53,va,1997-2019,4.6578342181606605,Real estate and rental and leasing
53,va,2019-2023,7.879544637644736,Real estate and rental and leasing
54,coe,1997-2019,5.880835885230224,"Professional, scientific, and technical services"
54,coe,2019-2023,7.648641721151794,"Professional, scientific, and technical services"
54,gos,1997-2019,5.204705625084219,"Professional, scientific, and technical services"
54,gos,2019-2023,7.805723761670996,"Professional, scientific, and technical services"
54,taxes,1997-2019,7.446442791211385,"Professional, scientific, and technical services"
54,taxes,2019-2023,-40.31936168737707,"Professional, scientific, and technical services"
54,va,1997-2019,5.636539188116954,"Professional, scientific, and technical services"
54,va,2019-2023,7.754399872839269,"Professional, scientific, and technical services"
55,coe,1997-2019,5.785461401253958,Management of companies and enterprises
55,coe,2019-2023,5.664102309859853,Management of companies and enterprises
55,gos,1997-2019,4.534283606710831,Management of companies and enterprises
55,gos,2019-2023,4.988868806915297,Management of companies and enterprises
55,taxes,1997-2019,3.404405782016691,Management of companies and enterprises
55,taxes,2019-2023,7.580947577590275,Management of companies and enterprises
55,va,1997-2019,5.55316173918584,Management of companies and enterprises
55,va,2019-2023,5.611825514798186,Management of companies and enterprises
56,coe,1997-2019,5.325798319794492,Administrative and waste management services
56,coe,2019-2023,6.692741447540787,Administrative and waste management services
56,gos,1997-2019,5.654120741033313,Administrative and waste management services
56,gos,2019-2023,9.375570244450904,Administrative and waste management services
56,taxes,1997-2019,4.967621001979964,Administrative and waste management services
56,taxes,2019-2023,60.73146963238728,Administrative and waste management services
56,va,1997-2019,5.354616851525585,Administrative and waste management services
56,va,2019-2023,7.475195392578132,Administrative and waste management services
61,coe,1997-2019,6.027743879886465,Educational services
61,coe,2019-2023,4.322914538462285,Educational services
61,gos,1997-2019,6.383216847078148,Educational services
61,gos,2019-2023,1.4120722042119787,Educational services
61,taxes,1997-2019,5.418065368189573,Educational services
61,taxes,2019-2023,28.844594284797274,Educational services
61,va,1997-2019,5.9118189383830595,Educational services
61,va,2019-2023,3.799303070356541,Educational services
62,coe,1997-2019,5.362150658885469,Health care and social assistance
62,coe,2019-2023,5.9986634434075645,Health care and social assistance
62,gos,1997-2019,5.33034127758611,Health care and social assistance
62,gos,2019-2023,7.604164598381389,Health care and social assistance
62,taxes,1997-2019,6.17826757323087,Health care and social assistance
62,taxes,2019-2023,-101.00078948780092,Health care and social assistance
62,va,1997-2019,5.355442413452773,Health care and social assistance
62,va,2019-2023,6.080974876965511,Health care and social assistance
71,coe,1997-2019,5.171019975022758,"Arts, entertainment, and recreation"
71,coe,2019-2023,7.245345703714056,"Arts, entertainment, and recreation"
71,gos,1997-2019,4.899469055071107,"Arts, entertainment, and recreation"
71,gos,2019-2023,10.715437419880098,"Arts, entertainment, and recreation"
71,taxes,1997-2019,6.067207170488375,"Arts, entertainment, and recreation"
71,taxes,2019-2023,35.45964017511333,"Arts, entertainment, and recreation"
71,va,1997-2019,5.090814998284798,"Arts, entertainment, and recreation"
71,va,2019-2023,8.548801554195563,"Arts, entertainment, and recreation"
72,coe,1997-2019,5.358527925700556,Accommodation and food services
